품종,지역,측정 날짜,평균 당도,씨앗,산도,당산비,과일 갯수,평균 너비,장폭비,무게,평균 무게,색상,질감,껍질 두께,평균 씨앗 수,내부색상,내부색상,,과즙 무게,과즙 비율,평균길이,길이,너비,줄리안 날짜,대목,수령,당도1,당도2,산도1,산도2,평균 산도 측정
Aoshima,Lindcove,2005-10-06,8.2,50,1.55,5.33,10,6.19,0.84,1028,102.8,3.5,4,38,5,ORANGE,3,,407.7,39.6595,5.2,52,61.9,N/A,16-6,8,8.2,8.2,9.19,9.14,9.165
Aoshima,Lindcove,2005-10-06,7.9,5,1.34,5.9,10,6.84,0.87,1384,138.4,3,4,47,0.5,ORANGE,3,,559.4,40.4191,5.92,59.2,68.4,N/A,CZO,9,7.9,7.9,7.92,7.92,7.92
Aoshima,Lindcove,2005-10-20,9.1,27,1.28,7.17,10,6.55,0.83,1229.6,122.96,4,5,40,2.7,MED. ORANGE,3,,555.6,40.7136,5.46,54.6,65.5,N/A,16-6,8,9.1,9.1,4.19,4.16,4.175
Aoshima,Lindcove,2005-10-20,9.1,34,1.2,7.61,10,6.75,0.83,1349.9,134.99,4,4,40,3.4,MED. ORANGE,3,,557.7,41.3142,5.6,56,67.5,N/A,CZO,9,9.1,9.1,3.92,3.94,3.93
Aoshima,Lindcove,2005-11-18,10.1,37,0.96,10.52,10,7.17,0.82,1490.4,149.04,5,3,41,3.7,MED. ORANGE,3,,606.8,40.7139,5.87,58.7,71.7,N/A,16-6,8,10.1,10.1,3.79,3.72,3.755
Aoshima,Lindcove,2005-11-18,9.8,5,0.83,11.88,10,6.93,0.77,1324.5,132.45,6,3,40,0.5,MED. ORANGE,3,,590.3,44.5678,5.31,53.1,69.3,N/A,CZO,9,9.9,9.8,3.35,3.38,3.365
Aoshima,Lindcove,2006-10-02,10.4,21,1.59,6.54,10,7,0.89,1484,148.4,3.5,3.5,49,2.1,ORANGE,3,,511.6,34.4744,6.2,62,70,N/A,16-6,9,10.4,10.4,4.95,5.05,5
Aoshima,Lindcove,2006-10-02,10.3,9,1.37,7.51,10,6.87,0.83,1336.8,133.68,3.5,3.5,48,0.9,ORANGE,3,,453.3,33.9093,5.72,57.2,68.7,N/A,CZO,10,10.3,10.3,4.26,4.36,4.31
Aoshima,Lindcove,2006-10-17,9.6,31,1.54,6.19,10,7.44,0.87,1773.3,177.33,3.5,4,51,3.1,ORANGE,3,,680.9,38.3973,6.47,64.7,74.4,N/A,16-6,9,9.6,9.5,6.19,6.09,6.14
Aoshima,Lindcove,2006-10-17,10.4,17,1.34,7.78,10,7.32,0.84,1675.2,167.52,3.5,4,41,1.7,BRT. ORANGE,2,,743.5,44.3828,6.15,61.5,73.2,N/A,CZO,10,10.4,10.4,4.87,4.79,4.83
Aoshima,Lindcove,2006-11-16,11.6,27,1.04,11.1,10,7.64,0.81,1768.2,176.82,5.5,3.5,40,2.7,BRT. ORANGE,2,,804,45.47,6.21,62.1,76.4,N/A,16-6,9,11.6,11.6,3.41,3.39,3.4
Aoshima,Lindcove,2006-11-16,10.8,16,0.83,13.01,10,7.47,0.79,1647.9,164.79,5.5,3,42,1.6,BRT. ORANGE,2,,752.6,45.6702,5.89,58.9,74.7,N/A,CZO,10,10.8,10.8,2.7,2.71,2.705
Aoshima,Lindcove,2007-10-10,9.3,29,1.16,7.99,10,6.87,0.88,1433.5,143.35,4,3,40,2.9,BRT. ORANGE,2,,545.6,38.0607,6.05,60.5,68.7,N/A,CZO,11,9.3,9.3,4.43,4.44,4.435
Aoshima,Lindcove,2007-10-29,11.7,18,1,11.7,10,6.87,0.76,1229.8,122.98,5,3,37,1.8,BRT. ORANGE,2,,492.1,40.0146,5.25,52.5,68.7,N/A,16-6,10,11.7,11.7,4.11,4.07,4.09
Aoshima,Lindcove,2007-10-29,9.8,21,0.86,11.28,10,6.85,0.78,1253.9,125.39,5,2.5,25,2.1,BRT. ORANGE,2,,570.9,45.5299,5.32,53.2,68.5,N/A,CZO,11,9.8,9.7,3.53,3.48,3.505
Aoshima,Lindcove,2007-11-15,11.5,2,1,11.48,10,7.25,0.76,1332.2,133.22,6,3,44,0.2,BRT. ORANGE,2,,505,37.9072,5.51,55.1,72.5,N/A,16-6,10,11.5,11.5,4.66,4.63,4.645
Aoshima,Lindcove,2007-11-15,10.5,24,0.84,12.48,10,7.75,0.82,1770.8,177.08,5,3,54,2.4,BRT. ORANGE,2,,624.5,35.2665,6.33,63.3,77.5,N/A,CZO,11,10.4,10.5,3.88,3.85,3.865
Aoshima,Lindcove,2008-09-29,7.8,1,1.13,6.92,10,6.44,0.99,1316.7,131.67,4,1.5,30,0.1,ORANGE,3,,575.7,43.7229,6.36,63.6,64.4,N/A,CZO,12,7.8,7.8,4.51,4.33,4.423
Aoshima,Lindcove,2008-10-20,10.9,0,1.03,10.51,10,7.22,0.89,1657.8,165.78,3.3,2,53,0,PALE YELLOW,1,,614,37.037,6.41,64.1,72.2,N/A,CZO,12,10.9,10.8,4.29,4.32,4.303
Aoshima,Lindcove,2008-11-10,11,13,0.92,11.97,10,7.87,0.84,2015.5,201.55,4.4,3.5,50,1.3,ORANGE,3,,868.4,43.0861,6.58,65.8,78.7,N/A,CZO,12,11,11,3.81,3.87,3.842
Aoshima,Lindcove,2009-09-28,7.25,21,1.1,6.57,10,6.12,0.87,1045.8,104.58,4,2.5,40,2.1,"9 LT OR, 1 MED OR",2,,458.1,43.8038,5.31,53.1,61.2,N/A,CZO,13,7.2,7.3,4.5,4.52,4.51
Aoshima,Lindcove,2009-09-28,8.7,9,1.51,5.76,10,6.69,0.95,1373.2,137.32,3,4.5,48,0.9,10 LT OR,2,,522.7,38.0644,6.36,63.6,66.9,N/A,CZO,3,8.7,8.7,6.17,6.34,6.253
Aoshima,Lindcove,2009-09-28,10.2,19,1.94,5.27,10,6.5,0.84,1248.1,124.81,3,3,40,1.9,"9 LT OR, 1 MED OR",2,,509.6,40.8301,5.43,54.3,65,N/A,C35,3,10.2,10.2,8.12,7.98,8.054
Aoshima,Lindcove,2009-10-19,9.1,29,1.05,8.64,10,7.74,0.81,1901.8,190.18,4,4,49,2.9,10 MED OR,3,,759.4,39.9306,6.29,62.9,77.4,N/A,CZO,13,9.1,9.1,4.33,4.4,4.364
Aoshima,Lindcove,2009-10-19,9,4,1.17,7.66,8,7.61,0.83,1404.5,175.56,4.1,4.5,39,0.5,8 MED OR,8 3,,591.4,42.1075,6.29,50.3,60.9,N/A,CZO,3,9,9,4.81,4.92,4.864
Aoshima,Lindcove,2009-10-19,9.8,3,1.22,8.04,8,7.83,0.84,1582.3,197.79,4,5,42,0.38,8 MED OR,8 3,,662.7,41.8821,6.54,52.3,62.6,N/A,C35,3,9.8,9.8,5.13,5,5.065
Aoshima,Lindcove,2009-11-11,9,14,0.74,12.14,10,7.43,0.83,1702.9,170.29,4.7,4,53,1.4,10 MED OR,3,,754.9,44.3303,6.16,61.6,74.3,N/A,CZO,13,9,9,3,3.14,3.069
Aoshima,Lindcove,2009-11-11,10.75,23,0.85,12.71,10,7.14,0.86,1540.2,154.02,4.7,4.5,50,2.3,10 MED OR,3,,551.4,35.8005,6.15,61.5,71.4,N/A,CZO,13,10.8,10.7,3.53,3.55,3.544
Aoshima,Lindcove,2009-11-11,10.55,8,1.36,7.81,10,7.06,0.83,1402.6,140.26,4.8,3.5,45,0.8,10 MED OR,3,,565.8,40.3394,5.87,58.7,70.6,N/A,16-6,12,10.6,10.5,5.66,5.65,5.654
Aoshima,Lindcove,2009-11-11,11.25,53,1.11,10.2,10,7.39,0.81,1613.7,161.37,4.9,4,53,5.3,10 MED OR,3,,561.8,34.8144,6.01,60.1,73.9,N/A,16-6,12,11.3,11.2,4.6,4.65,4.628
Aoshima,Riverside,2009-09-25,9,19,1.37,6.59,10,5.62,0.89,829.2,82.92,3.4,2,36,1.9,10 LT OR,2,,298.9,36.05,5.02,50.2,56.2,N/A,CZO,7,9,9,5.728,5.592,5.66
Aoshima,Riverside,2009-09-25,11.2,34,1.38,8.11,10,5.81,0.78,804.6,80.46,3.2,1,34,3.4,10 MED OR,3,,326.1,40.53,4.55,45.5,58.1,N/A,C-35,7,11.2,11.2,5.658,5.882,5.77
Aoshima,Riverside,2009-10-19,8.8,19,1.27,6.94,10,6.06,0.88,1012.1,101.21,3,2,41,1.9,"2 GR OR, 1 MED OR, 7 V LT OR",2,,391.1,38.64,5.35,53.5,60.6,N/A,CZO,7,8.8,8.8,5.31,5.178,5.244
Aoshima,Riverside,2009-10-19,11.4,29,1.18,9.65,10,5.97,0.78,847.7,84.77,5,2,37,2.9,10 LT OR,2,,356.7,42.08,4.63,46.3,59.7,N/A,C-35,7,11.4,11.4,4.888,4.996,4.942
Aoshima,Riverside,2009-11-09,9.5,7,0.92,10.27,10,6.33,0.86,1093.3,109.33,3.3,4,32,0.7,10 MED OR,3,,477.7,43.69,5.43,54.3,63.3,N/A,CZO,7,9.5,9.5,3.748,3.928,3.838
Aoshima,Riverside,2009-11-09,11.6,26,0.96,12.08,10,6.18,0.74,895.7,89.57,6,2.5,35,2.6,10 MED OR,3,,371.3,41.45,4.6,46,61.8,N/A,C-35,7,11.6,11.6,4.136,3.898,4.017
Aoshima,Riverside,2008-09-29,9.6,38,0.91,10.63,10,6.37,0.86,1163,116.3,3.7,2.5,42,3.8,PALE ORANGE,1,,483.2,41.55,5.5,55,63.7,N/A,CZO,6,9.6,9.5,4.288,4.472,4.38
Aoshima,Riverside,2008-10-20,9.5,68,0.95,10.08,10,7.26,0.8,1513.8,151.38,3.6,1.5,42,6.8,BRT. ORANGE,2,,636.4,42.04,5.8,58,72.6,N/A,CZO,6,9.5,9.6,4.062,3.812,3.937
Aoshima,Riverside,2008-11-10,10.2,61,0.76,13.34,10,7.11,0.79,1335.9,133.59,6,2,44,6.1,BRT. ORANGE,2,,513.2,38.42,5.61,56.1,71.1,N/A,CZO,6,10.2,10.1,3.11,3.232,3.171
Aoshima,Riverside,2008-11-10,10.2,14,0.68,15.11,10,6.93,0.88,1348.9,134.89,5.4,2.5,52,1.4,BRT. ORANGE,2,,456.1,33.81,6.13,61.3,69.3,N/A,C-35,6,10.2,10.2,2.86,2.768,2.814
Aoshima,Riverside,2007-10-01,8.7,22,1.65,5.28,10,6.38,0.91,1137.9,113.79,4,4,37,2.2,BRT. ORANGE,2,,408,35.86,5.8,58,63.8,N/A,CZO,5,8.7,8.7,5.95,5.89,5.92
Aoshima,Riverside,2007-10-01,9.5,61,1.57,6.07,10,6.23,0.85,996.1,99.61,4.5,3.5,43,6.1,BRT. ORANGE,2,,363.4,36.48,5.27,52.7,62.3,N/A,C-35,5,9.5,9.5,5.62,5.66,5.64
Aoshima,Riverside,2007-10-22,9.2,34,0.94,9.77,10,6.22,0.84,1024,102.4,3.5,2,33,3.4,BRT. ORANGE,2,,372.1,36.34,5.25,52.5,62.2,N/A,CZO,5,9.2,9.2,3.62,3.6,3.61
Aoshima,Riverside,2007-10-22,10.5,55,0.92,11.44,10,6.11,0.8,945.4,94.54,5,1.5,38,5.5,BRT. ORANGE,2,,388.2,41.06,4.89,48.9,61.1,N/A,C-35,5,10.5,10.5,3.57,3.5,3.535
Aoshima,Riverside,2007-11-13,9.2,14,0.95,9.67,10,7.51,0.84,1722.4,172.24,4.5,3,37,1.4,BRT. ORANGE,2,,977.1,56.73,6.3,63,75.1,N/A,CZO,5,9.2,9.1,3.83,3.83,3.83
Aoshima,Riverside,2007-11-13,12,48,1.02,11.81,10,6.96,0.79,1102,110.2,6,2.5,51,4.8,BRT. ORANGE,2,,329.9,29.94,5.49,54.9,69.6,N/A,C-35,5,12,12,4.21,4.11,4.16
Aoshima,Riverside,2006-10-02,10.1,35,1.33,7.57,10,6.46,0.77,1053,105.3,4,3,46,3.5,Orange,3,,429.6,40.8,4.95,49.5,64.6,N/A,CZO,4,10.1,10,4.13,4.21,4.17
Aoshima,Riverside,2006-10-02,10.1,10,1.43,7.05,10,7.49,0.79,1667.2,166.72,3.5,4,48,1,2/10 Lt. Org. & 8/10 Org.,2,,690.6,41.42,5.95,59.5,74.9,N/A,C-35,4,10.1,10.1,4.45,4.55,4.5
Aoshima,Riverside,2006-10-23,10.4,41,0.96,10.79,10,6.77,0.71,1165.5,116.55,5.5,2.5,39,4.1,BRT. ORANGE,2,,457.4,39.24,4.82,48.2,67.7,N/A,CZO,4,10.4,10.3,2.96,3.04,3
Aoshima,Riverside,2006-10-23,8.2,4,1.17,7.01,10,7.99,0.79,2017.2,201.72,3.5,5,48,0.4,BRT. ORANGE,2,,793.6,39.34,6.3,63,79.9,N/A,C-35,4,8.2,8.2,3.58,3.68,3.63
Aoshima,Riverside,2006-11-13,11.4,40,0.85,13.46,10,7.15,0.71,1213.7,121.37,8.5,3,49,4,BRT. ORANGE,2,,463.8,38.21,5.1,51,71.5,N/A,CZO,4,11.4,11.4,3.39,3.4,3.395
Aoshima,Riverside,2006-11-13,9.4,4,0.81,11.49,10,8.98,0.77,2557.1,255.71,4.5,4,68,0.4,BRT. ORANGE,2,,1024.2,40.05,6.9,69,89.8,N/A,C-35,4,9.4,9.3,3.23,3.24,3.235
Aoshima,Riverside,2005-10-03,8.8,22,1.1,8.05,10,6.47,0.77,1101.1,110.11,4,3,33,2.2,BRT. ORANGE,2,,509.2,46.24,4.99,49.9,64.7,N/A,CZO,3,8.8,8.8,6.57,6.48,6.525
Aoshima,Riverside,2005-10-03,8.7,14,1.27,6.86,10,6,0.79,881.9,88.19,4,3,31,1.4,BRT. ORANGE,2,,413,46.83,4.71,47.1,60,N/A,C-35,3,8.7,8.7,7.61,7.51,7.56
Aoshima,Riverside,2005-10-24,10,33,0.96,10.44,10,6.73,0.72,1163.9,116.39,5,2.5,39,3.3,BRT. ORANGE,2,,577.9,49.65,4.87,48.7,67.3,N/A,CZO,3,10,10,3.23,3.26,3.245
Aoshima,Riverside,2005-10-24,10.1,42,1.13,8.97,10,6.88,0.71,1168.8,116.88,7,2.5,38,4.2,BRT. ORANGE,2,,558.2,47.76,4.89,48.9,68.8,N/A,C-35,3,10.1,10.1,3.89,3.85,3.87
Aoshima,Riverside,2005-11-14,10.7,25,0.66,15.75,10,7.65,0.7,1541.2,154.12,8.5,2.5,40,2.5,BRT. ORANGE,2,,656.4,42.59,5.35,53.5,76.5,N/A,CZO,3,10.7,10.7,2.77,2.79,2.78
Aoshima,Riverside,2005-11-14,10.2,26,0.68,12.89,10,7.18,0.71,1285.2,128.52,8.5,2.5,41,2.6,BRT. ORANGE,2,,544.6,42.37,5.1,51,71.8,N/A,C-35,3,10.2,10.2,3.17,3.26,3.215
Aguzdera,Riverside,2009-09-25,8.75,,1.224,7.111,10,5.23,0.93,684.7,68.47,3.4,2,39,0.3,10 MED OR,3,,285.7,41.73,4.87,48.7,52.3,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2009-09-25,9.2,,1.251,7.353,10,6.06,0.9,1016.7,101.67,3.1,3,38,0.8,10 MED OR,3,,443,43.57,5.46,54.6,60.6,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-09-28,7,,0.918,7.624,10,5.58,0.91,847.6,84.76,3.7,2.5,31,0.6,"8 MED OR, 2 LT OR","8 3, 2 2",,342.7,40.43,5.06,50.6,55.8,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-09-28,8.95,,1.131,7.956,10,5.69,0.91,893.6,89.36,3.3,3,33,0.4,10 LT OR,2,,355.8,39.82,5.19,51.9,56.9,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-09-28,8.9,,1.236,7.199,10,5.95,0.93,1002.7,100.27,3.4,2,41,0.9,yellow orange,2 3,,400.6,39.95,5.51,55.1,59.5,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-09-28,8.75,,1.219,7.136,10,5.65,0.91,858.6,85.86,3.4,1.5,31,0.1,pale orange,1,,364.4,42.44,5.15,51.5,56.5,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2008-09-29,8,,1.281,6.285,10,6.07,0.45,1010.2,101.02,3,3.5,39,0,Orange,3,,400,39.6,5.31,53.1,60.7,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2008-09-29,7.4,,1.053,7.029,10,5.98,0.43,979.4,97.94,3,3.5,39,0,Orange,3,,410.5,41.91,5.36,53.6,59.8,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2008-09-29,8.8,,1.031,8.582,10,5.89,0.97,1045.7,104.57,4,2,42,1.9,Orange,3,,404.1,38.64,5.69,56.9,58.9,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2007-10-01,9.4,,1.19,7.86,10,5.95,0.95,1064.3,106.43,4.5,2,37,3.1,Bright Orange,2,,435.1,40.88,5.64,56.4,59.5,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2006-10-02,7.7,,1.32,5.85,10,6.43,0.42,1167.7,116.77,3.5,4,42,0,Bright Org.,2,,477.9,40.93,5.34,53.4,64.3,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2006-10-02,6.2,,0.92,6.76,10,6.26,0.46,1129.6,112.96,3,4.5,41,0,Bright Org.,2,,517.3,45.79,5.61,56.1,62.6,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2006-10-02,10.2,,2.36,4.31,10,5.58,0.92,803.6,80.36,4.5,3,45,0.1,10 MED OR,3,,322,40.07,5.15,51.5,55.8,275,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2007-10-10,7.6,,0.96,7.88,10,6.44,0.86,1171,117.1,4.6,3,42,1.3,10 MED OR,3,,463.4,39.57,5.56,55.6,64.4,283,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2007-10-10,8.5,,1.1,7.74,10,5.94,0.93,1158.8,115.88,3.5,6,46,0,9 MED OR,9 3,,446.7,38.55,5.55,55.5,59.4,283,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudera,Lindcove,2006-10-17,9.4,,1.09,8.65,10,6.31,0.9,1164.9,116.49,3.5,3,37,0.4,10 MED OR,3,,495.8,42.56,5.65,56.5,63.1,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2006-10-17,7.8,,1.24,6.32,10,6.42,0.87,1212.1,121.21,3.7,2.5,40,0.4,orange,3,,460,37.95,5.76,57.6,64.2,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-10-19,9.2,,1.025,8.976,10,6.65,0.93,1302.3,130.23,3.5,3.5,41,0.3,bright orange,2,,537,41.23,5.95,59.5,66.5,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-10-19,8.15,,0.932,8.695,10,5.84,0.88,875.8,87.58,5.5,3,31,0.5,Br. Orange,2,,396,45.22,5.15,51.5,58.4,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-10-19,8.05,,1.019,7.945,10,6.78,0.89,1277.5,127.75,5,5.5,53,1.2,10 MED OR,3,,466.3,36.5,6.01,60.1,67.8,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2009-10-19,8.75,,1.108,7.946,10,5.82,0.9,876.4,87.64,5.4,3,40,2.3,10 MED OR,3,,394.7,45.04,5.23,52.3,58.2,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2009-10-19,9.75,,1.055,9.288,10,6.33,0.88,1130.9,113.09,4.7,4,32,0.1,orange,3,,482.9,42.7,5.83,58.3,63.3,292,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2008-10-20,8.7,,0.969,8.924,10,6.62,0.81,1227.6,122.76,4.9,2.5,46,0.7,bright orange,2,,542.2,44.17,5.67,56.7,66.2,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2008-10-20,9.7,,1.041,8.905,10,6.96,0.92,1381.2,138.12,5,3,44,0.5,BRIGHT ORANGE,2,,501.7,36.32,6.38,63.8,69.6,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2008-10-20,8.7,,0.879,8.582,10,6.79,0.87,1190.8,119.08,7,2.5,65,1.7,BRIGHT ORANGE,2,,403.9,33.92,5.88,58.8,67.9,294,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2007-10-22,8.9,,0.76,11.79,10,7.27,0.45,1531.3,153.13,4,4.5,51,0.1,Br. Orange,2,,576.8,37.67,6.15,61.5,72.7,295,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2006-10-23,9.6,,0.96,10.03,10,6.73,0.42,1193.6,119.36,5,4.5,39,0,Br. Orange,2,,525.4,44.02,5.48,54.8,67.3,296,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2007-10-29,8.1,,0.9,9.03,10,5.87,0.89,935.8,93.58,3,1.5,31,2,10 LT OR,2,,375.1,40.08,5.24,52.4,58.7,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2007-10-29,9.5,,0.95,9.93,10,4.95,0.91,585.3,58.53,3.6,1.5,35,1.5,10 LT OR,2,,251.9,43.04,4.49,44.9,49.5,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2009-11-09,9.1,,0.872,10.435,10,5.67,0.92,871,87.1,3.5,2,30,3,Orange,3,,410.6,40.7529,5.2,52,56.7,313,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2009-11-09,10.2,,0.907,11.241,10,5.6,0.94,803.3,80.33,4,3.5,35,2.3,Bright orange,2,,278.8,34.71,5.25,52.5,56,313,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-11-11,9,,0.703,12.808,10,5.43,0.87,719.9,71.99,3,3,38,2.4,Orange,3,,322.5,44.8,4.7,47,54.3,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2009-11-11,10.35,,0.949,10.852,10,6.2,0.87,996.8,99.68,3.4,2,34,1.6,10 MED OR,3,,296.9,29.79,5.41,54.1,62,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2008-11-10,8.8,,0.794,11.024,10,5.3,0.93,704.2,70.42,3.6,2,49,0.8,10 MED OR,3,,353.8,50.24,4.91,49.1,53,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2008-11-10,10.1,,0.819,12.333,10,6.08,0.92,1035.4,103.54,3.6,3,31,2.7,Bright orange,2,,459.9,44.42,5.57,55.7,60.8,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2008-11-10,10.4,,0.689,15.094,10,5.82,0.96,925.6,92.56,4.5,3,31,5.2,Bright Orange,2,,321.8,34.77,5.56,55.6,58.2,315,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2006-11-13,9.4,,0.85,11.12,10,5.5,0.81,726.1,72.61,4.5,2.5,29,2.3,Bright Org.,2,,331.5,45.65,4.43,44.3,55,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aguzdera,Riverside,2007-11-13,10.1,,0.86,11.8,10,6.23,0.84,1010.4,101.04,4.8,3.5,48,2.4,10 MED OR,3,,388.5,38.45,5.26,52.6,62.3,317,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Agudzera,Lindcove,2007-11-15,7.9,,1.041,8.905,10,5.61,0.89,762.4,76.24,5.6,2.5,39,1.1,10 MED OR,3,,333.3,43.72,4.98,49.8,56.1,319,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armstrong Satsuma,Riverside,2004-09-20,9.6,,1.11,8.65,10,6.17,0.91,1102,110.2,4.5,2.5,24,0.6,BRT. ORANGE,2,,560.5,50.86,5.59,55.9,61.7,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armstrong Satsuma,Riverside,2004-09-20,8.1,,1.13,7.19,10,6.49,0.97,1316.8,131.7,4,2,25,0.6,LT. ORANGE,2,,626.6,47.59,6.3,63,64.9,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armstrong,Riverside,2009-09-25,7.05,,0.77,9.15,5,6.42,0.89,577.1,115.42,4,1,21,0,10 LT OR,2,,213.2,36.94,5.7,28.5,32.1,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armstrong,Riverside,2009-09-25,10.35,,0.9,11.49,10,5.3,0.86,673.7,67.37,4,1,23,0.2,10 MED OR,3,,310,46.01,4.57,45.7,53,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Armstrong,Lindcove,2009-09-28,8.15,,0.92,8.94,10,7.21,0.89,1550.8,155.08,3.4,1.5,36,0,10 LT OR,2,,689.5,44.46,6.44,64.4,72.1,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A
