껍질두께(1~3),내부중량,배꼽크기(1~3),질감(1~3),당도평균
2,33.71022942,3,1,9.899902298
1,36.61976594,2,1,10.81905292
2,58.59522507,1,2,9.587806568
3,91.82421442,2,3,9.229710518
3,77.52100932,2,2,10.16147199
2,57.56023605,3,1,10.74493676
2,41.67947984,3,2,10.57808111
1,92.03618098,3,1,10.88600004
1,37.14810271,3,2,12.38463235
2,32.6909435,3,2,10.74570259
1,92.44089535,1,2,11.84338077
2,62.43914647,2,3,9.585404517
2,72.86845435,2,2,10.92639787
2,77.57469741,3,1,10.91425902
1,56.1777275,3,1,10.58247315
2,32.85108925,2,3,10.93514855
2,74.3573406,3,3,8.295175481
2,45.59937584,3,1,9.355292567
3,74.89411549,3,3,9.817754278
1,41.82042483,2,1,10.0119942
2,53.66003887,1,1,9.975114356
2,51.70831491,1,3,12.72231511
1,30.40528299,3,1,10.41757004
2,45.56500725,2,2,12.88721385
2,55.75179997,3,3,10.36252189
1,102.9875923,1,1,12.10604303
2,51.17840549,2,2,12.21713837
1,27.24486551,3,1,10.28779343
2,114.0205281,1,1,11.74078571
1,89.84528243,2,1,11.22992319
1,38.83853384,1,1,11.3361601
3,55.54893466,1,3,11.33374572
2,35.23161661,2,3,10.82884519
2,25.35146071,2,1,9.843771859
1,39.04700818,3,2,9.861382746
1,53.46001254,3,1,12.10433168
2,45.88671885,2,3,10.93224467
2,99.64208595,1,1,10.7384127
3,47.66754632,2,3,10.63942678
2,80.87063682,3,3,9.996628057
2,36.27342264,3,3,11.44573212
2,42.51969468,2,1,10.403422
2,41.21904037,1,2,9.613470966
2,53.836893,3,2,10.7438504
1,40.39381266,3,2,9.511141364
2,44.4157966,2,2,9.155986482
1,100.7669894,1,1,11.58744602
2,101.6304419,2,1,10.93488928
2,62.37682721,1,2,10.40893525
2,83.43364376,3,3,8.925616438
3,93.37503848,1,3,8.87104186
2,96.67638622,2,3,10.46938439
2,76.60266829,2,2,9.586724138
1,35.18201789,3,2,11.17438351
2,37.18627446,2,1,10.45604164
3,39.08538455,3,2,11.32882323
2,51.02131043,2,2,11.45421906
3,88.26777667,3,3,6.365144399
1,46.8925632,2,2,10.42118943
2,54.38087039,2,2,11.5540576
1,60.61242952,2,1,9.965285591
2,102.7620641,2,2,10.4849307
3,63.65321733,3,2,10.12230731
2,61.52526556,2,2,11.38505613
1,20.50097579,3,2,10.9092543
1,74.49708452,1,3,12.26155094
3,90.52013069,2,3,8.836177701
3,56.92736373,2,3,10.31917619
2,33.14047334,1,1,12.12112248
2,33.75011993,3,1,13.14311147
2,30.39030991,1,3,9.568290425
3,89.89505124,1,2,9.261584724
3,79.9264031,3,2,8.411078321
1,56.08996466,2,1,12.93060087
3,84.10903838,3,3,6.85634491
2,21.87283349,2,1,10.72248443
1,64.56843118,1,1,11.85090085
3,58.84245287,1,3,10.25711632
2,29.1776748,3,1,11.9100588
2,92.86723668,2,1,10.87060838
2,40.65013177,2,2,11.81103637
2,81.97467869,2,3,10.96453418
2,52.27962076,2,2,11.57850325
2,31.77447262,2,2,11.41190291
3,41.87070591,1,3,10.18567038
1,80.46734016,1,2,11.79957339
1,47.98372865,3,2,10.13432739
2,58.37916222,3,3,10.53414174
2,112.3695471,1,1,10.87807654
1,69.46353229,3,1,10.97571205
3,53.25264166,2,3,9.981513626
1,47.96948353,1,1,11.1712947
3,49.92571331,3,1,10.19159561
3,88.61027196,3,3,8.163717296
1,71.98331319,3,2,9.936087015
2,42.03665256,2,1,11.68765039
1,68.8390383,2,2,9.590406794
2,54.35049446,3,1,11.71223684
1,52.27827259,3,1,10.02440475
1,74.37693913,3,2,10.4669852
2,53.67306126,2,1,12.21774273
2,116.2040811,1,3,10.92377377
3,48.76709604,3,2,7.977809217
2,34.88803329,2,3,10.69135142
2,49.23214672,3,2,12.17046687
2,56.23066284,1,3,11.53761029
1,59.57331762,2,2,12.78294967
1,41.48922494,1,1,11.18153694
1,73.93757391,3,1,12.57446196
3,81.43713134,1,2,11.31700556
1,41.60778139,2,1,9.961444306
3,41.92117083,2,3,10.42354897
3,93.53087544,3,3,7.616430222
2,48.24121053,1,2,13.17817764
2,65.09947893,1,3,11.02400428
1,84.9096562,3,1,10.94357913
2,45.31797722,1,3,10.67125555
2,55.81994894,1,2,10.36802828
1,55.79153783,3,1,11.04030262
2,24.82679131,3,1,11.39970584
3,109.5073015,3,3,8.198380771
2,47.84139127,1,3,11.01307181
2,39.01457817,1,2,11.02230272
1,48.92427957,3,1,10.13871119
1,37.12098273,2,1,10.67040111
2,57.24565259,3,2,10.87513557
1,94.27899918,2,1,12.48537076
2,75.86543159,2,3,11.76245647
2,50.94391338,2,2,12.48811463
1,49.47831804,3,2,9.489578646
2,64.86565981,2,1,10.96230453
3,29.67538654,2,2,11.67076699
2,40.56143328,2,1,12.27568404
2,49.71752621,1,3,9.163021121
2,62.64569637,2,2,12.18823351
1,54.50936357,3,3,10.26667203
2,56.19933816,3,2,9.401478985
3,84.17058718,1,2,10.48854541
1,32.6418092,2,1,13.65808738
3,91.30985848,2,3,8.136714503
2,66.08543343,3,3,8.953486503
1,89.26426572,2,1,11.5393917
2,50.13333608,3,1,11.6423002
3,84.58031669,3,3,8.403673325
1,65.60776206,2,1,11.9339049
3,70.62703232,2,3,9.3786645
3,108.8875372,2,2,8.994576854
3,68.93939367,2,2,9.032506478
2,51.39527063,3,2,9.731999905
2,87.97794466,3,3,8.049057642
1,87.99892832,3,1,11.79384974
1,56.82445064,3,2,10.19496729
1,71.64529121,3,1,9.526668287
3,92.58414287,3,3,7.872899983
1,63.20797655,1,1,10.05362452
2,38.85632158,2,2,10.76086827
1,66.34957756,1,1,9.490023833
3,19.62056974,2,2,12.23273968
2,40.67939715,3,1,11.23293175
2,40.08825189,3,3,10.41134964
1,44.48408571,2,1,9.521523337
2,28.87804588,1,1,12.04096325
2,38.05948369,2,1,9.635968055
3,92.25574826,2,3,8.126083381
1,97.9069129,3,1,9.597368901
3,67.82555555,1,2,9.470338706
2,81.2934195,3,2,10.3981694
2,46.17227412,3,2,8.290009198
3,68.81354576,3,3,9.032446461
3,56.40892783,3,1,10.56756713
1,86.41507495,2,1,11.48576997
3,42.39015766,2,3,10.26065372
3,65.06146119,2,1,10.46253073
3,100.0033663,2,3,8.915398242
1,67.08955316,2,1,11.85871443
1,54.08630975,2,1,11.89481724
2,80.37082387,2,3,11.44068901
2,80.53412577,2,3,10.90691519
1,46.09387296,2,2,12.01914347
2,64.67719266,2,1,12.58099831
1,44.81054972,2,1,13.41767596
3,56.92074389,2,3,11.87800399
1,31.93064382,1,2,10.62577379
2,93.42639638,2,2,11.49448081
2,85.55947063,2,3,10.2043597
3,33.6376697,2,2,9.813048534
2,50.90783284,3,2,9.420914516
2,98.15996147,3,1,10.1273106
2,47.00078261,3,2,12.41991368
2,69.68098417,3,2,11.49595615
3,62.67876417,2,2,10.42145155
2,54.20947097,1,2,12.44002439
1,45.53237796,2,1,10.16221105
2,96.53228722,1,2,9.864847365
2,18.06159535,2,2,9.755484171
3,70.30322707,3,1,8.94067197
2,103.4087751,3,2,8.877729155
2,36.47092828,1,2,9.347570484
2,46.82364729,2,3,9.89635848
3,52.41120656,1,3,9.036327114
3,69.90330445,3,3,9.651052122
1,78.72515848,1,1,11.16311538
1,86.32292921,2,1,11.82285473
2,61.68744182,1,3,12.60714022
3,106.0960895,1,3,8.713863302
1,53.94144586,1,1,10.80816677
3,48.32220125,2,2,9.781729002
2,47.57383834,3,2,11.8325519
3,70.83838598,3,2,7.087528911
2,35.94963004,1,1,12.72237516
2,47.71527771,3,2,10.53335717
2,60.64504291,1,1,9.575080592
1,69.51428623,2,1,11.23304083
3,72.58307461,2,2,7.993725437
2,30.36029231,1,2,10.40093583
1,58.60831634,2,1,10.3634713
2,53.84667085,3,2,10.92717077
1,81.28657401,3,1,12.29468212
2,87.11883713,3,1,9.748751177
1,70.86096726,2,1,9.791695079
2,25.80965098,3,1,10.75765606
2,79.13664306,1,3,11.84002263
2,65.41117491,3,3,9.2696244
2,79.91306559,2,1,10.78351591
1,40.39962064,3,2,10.89890817
2,60.15773839,3,2,7.770542634
2,53.5840162,1,2,10.26121859
2,98.03786789,3,2,10.49952148
1,72.52992305,3,1,9.827928346
3,62.32866681,2,3,11.01451363
3,97.13525533,2,3,8.123667574
2,23.69623722,2,2,9.290238682
2,62.09773994,2,2,9.249279709
2,49.57909253,1,3,12.05116303
2,30.51136782,3,2,10.65268145
2,39.06064922,2,1,10.56444951
3,55.72228337,2,1,12.32348471
1,51.85775145,1,1,11.71301503
1,64.97988681,3,1,11.31186656
1,50.29626362,3,1,11.60030492
2,60.22559939,1,1,10.39122496
3,72.28691348,2,3,10.84396143
3,35.59288816,2,2,10.53910564
2,77.46494317,3,2,10.56349084
2,54.96471694,2,2,9.1645442
2,72.67422752,2,2,9.840155214
2,45.09987784,2,2,10.5747738
2,71.61989547,3,2,11.67337432
1,35.55170589,2,1,11.83447743
2,48.24687058,2,1,9.78486401
1,52.68602968,3,1,9.771055503
2,44.2710034,2,2,9.735720372
3,95.57461155,3,2,7.50142832
3,52.29689377,1,3,9.652688366
2,80.34104801,2,1,10.54800737
2,44.49864316,3,2,11.0191862
2,68.52757966,1,1,10.14842614
2,38.29837645,1,1,11.3173884
2,69.09985125,2,3,9.535144607
1,69.84672182,2,1,10.8509704
3,68.73097514,3,2,8.102345618
1,52.19809231,3,2,9.728751527
3,95.72578244,1,3,10.4523061
1,45.19515841,2,1,11.43499327
1,36.91572042,3,2,11.83092188
3,61.92877713,2,3,8.087550238
3,96.14427648,1,2,9.580603397
2,48.76808558,1,1,8.742697247
2,35.74731853,3,2,12.3124022
1,69.62599233,2,2,10.84986718
1,74.40719037,2,3,11.65299995
1,57.69015751,3,2,10.81915987
3,63.24605095,2,3,11.889371
2,32.81374434,3,1,12.28437441
2,61.68135432,1,2,11.97994716
2,80.21763312,3,3,10.42466046
2,83.37681948,1,3,11.54749571
2,68.05805689,2,3,10.53381924
2,49.35670471,3,2,9.073174006
2,25.2285393,2,3,12.28236529
1,41.87877977,2,1,11.69829989
2,48.78283638,2,3,10.11890823
2,69.25043283,3,3,10.21554971
2,59.99409338,2,2,9.721854248
2,49.78525686,1,2,10.94327132
2,45.10287848,2,2,11.7444507
2,81.68689491,2,3,9.009676424
3,56.67067852,2,2,11.32761235
1,59.86893265,1,1,10.77583694
1,68.36508396,1,1,11.20268511
2,59.83104167,2,2,9.880544479
2,65.27918908,1,1,10.44639778
3,87.22154297,1,2,9.514695947
1,51.24591027,2,1,11.19532766
3,82.2386026,3,3,9.233328159
3,106.7617239,2,2,11.74880758
3,67.96406089,3,3,10.23230895
2,44.38808783,2,2,12.25834528
2,45.05173438,3,3,9.632982168
3,41.44896477,2,2,9.588395366
2,73.87635354,3,2,10.9289458
2,68.61690004,3,3,10.14659228
2,31.40048399,3,2,9.141941265
1,20.71738031,3,2,9.384258504
2,57.93671302,2,2,11.36660979
3,65.38060592,3,2,9.96926036
2,109.1577886,1,1,10.06270099
2,102.4012029,1,3,7.809078398
3,60.3082678,3,2,9.419542878
2,74.7834603,3,2,12.0408849
1,49.28202062,2,2,10.17359845
3,60.91278815,3,1,10.76080555
2,99.76584101,3,3,8.567920525
2,69.51660214,2,2,10.44566895
2,55.2612635,1,1,9.414529027
2,83.89293032,2,1,10.35463154
1,70.63076112,2,2,10.87718893
2,47.23738446,2,2,9.412463692
2,13.40375582,3,2,10.7225368
1,41.54358426,2,1,12.07237444
1,54.94403531,3,3,9.71215739
2,55.01588353,1,1,9.37553885
1,61.78169905,3,1,11.20124993
1,70.80944831,3,1,11.83318425
3,24.30112707,2,1,11.93739782
1,59.16149193,2,1,10.50489027
2,32.45688715,1,2,10.57419461
1,37.35832663,2,2,10.64834675
2,87.39850215,1,3,11.97269319
2,30.43696417,1,1,11.10779847
3,94.18056678,1,3,8.68801929
2,36.55551483,2,1,11.87355443
2,46.00334007,2,2,9.679667155
1,60.9906915,3,1,11.18367136
1,61.64362838,3,1,11.8687887
3,70.75028694,3,2,11.32632777
2,73.7098006,3,3,9.76868873
3,75.3689356,1,2,9.972458525
1,65.42234643,3,1,11.34616551
3,84.0475878,3,3,7.76891055
3,22.98952322,2,2,11.40493059
2,74.82778298,3,1,10.93954336
3,48.45218332,1,2,10.19230586
2,28.57618142,3,2,12.42352726
3,70.21185169,3,2,8.236939289
3,48.32401948,2,3,9.875544331
2,111.5108862,1,1,11.53143504
2,56.49974299,3,3,12.08419358
1,45.65601591,3,1,12.06904136
3,57.69157435,2,3,10.70737645
3,59.44942775,1,1,10.43904353
1,38.66132279,2,1,11.83166401
